start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,rater_id,empty_col,form_id,country,origin_org,name_org,rank_org,risk_level,risk_level_text,field_choice,field_text,sample_size,justification,calculations,minimal_effect_size,data_management_plan,archived_data,open_data,registration_other,registration_clinical_trials,comments
2022-08-03 12:25:07,2022-08-03 12:32:20,IP Address,100,433,True,2022-08-03 12:32:20,R_1FEOLBnCYtS79KW,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,oxford_05,UK,University,University of Oxford,1,Minimal (Low),NA,Medicine and Psychology Combined,"Medicine, covers Psychology",Yes,Yes,No,No,Yes,No,Yes,Yes,No,Form title: Curec  form 1 / research involving human participants and/or their data.
2022-08-03 12:32:26,2022-08-03 12:41:00,IP Address,100,514,True,2022-08-03 12:41:00,R_A1GZVCCSHYnE2oV,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,oxford_01,UK,University,University of Oxford,1,Non-minimal (High),NA,Medicine and Psychology Combined,"Medicine , psychology included",Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,"Curec form 2/ higher risk research involving human participants and/or their data

Data management and handling"
2022-08-03 12:41:11,2022-08-03 13:47:12,IP Address,100,3961,True,2022-08-03 13:47:14,R_3G83980b5h4jzuI,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,oxford_04,UK,University,University of Oxford,1,Non-minimal (High),NA,Medicine form,Pharmacology/Medicine,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,"CUREC 3/ pharmacological studies in healthy volunteers

Data management and handling

Open data encouraged"
2022-08-03 13:47:34,2022-08-03 13:55:39,IP Address,100,485,True,2022-08-03 13:55:39,R_3P7zcaKkGCvjp6y,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,oxford_03,UK,University,University of Oxford,University of Oxford,Minimal (Low),NA,Medicine form,Tropical medicine (e.g. venomous blood sampling),Yes,Yes,Yes,No,Yes,Yes,No,No,No,data management and sample storage
2022-08-03 13:59:08,2022-08-03 14:07:56,IP Address,100,527,True,2022-08-03 14:07:56,R_1lfocvCrWVksblJ,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,oxford_02,UK,University,University of Oxford,1,Other,“Less complex ethical issues”,Psychology and Social Sciences Combined,"Social sciences and humanities, psyc inc",Yes,Yes,No,No,No,Yes,No,No,No,NA
2022-08-03 14:12:17,2022-08-03 14:46:51,IP Address,100,2074,True,2022-08-03 14:46:51,R_bvddvbby94sg2D7,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,cambridge_03,UK,University,University of Cambridge,2,Both minimal and non-minimal,NA,Medicine form,Human biology (inc. physio + pharma),Yes,No,No,No,No,No,No,No,No,NA
2022-08-03 14:47:03,2022-08-03 14:50:04,IP Address,100,181,True,2022-08-03 14:50:05,R_2aVTDemH7Bv39nC,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,cambridge_02,UK,University,University of Cambridge,2,Both minimal and non-minimal,NA,Social Sciences form,Social sciences and humanities,No,No,No,No,No,No,No,No,No,NA
2022-08-03 14:50:08,2022-08-03 14:52:27,IP Address,100,138,True,2022-08-03 14:52:27,R_b3Y0l605xldTtfP,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,cambridge_01,UK,University,University of Cambridge,2,Both minimal and non-minimal,NA,Psychology form,Human psychology,Yes,No,No,No,No,No,No,No,No,NA
2022-08-03 14:59:31,2022-08-03 15:03:14,IP Address,100,223,True,2022-08-03 15:03:14,R_9H3hFghvlOFlBDj,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,ucl_02,UK,University,University College London,3,Non-minimal (High),NA,All Human Research,All research,Yes,Yes,No,No,Yes,Yes,No,No,No,In emails they mentioned this form is for all research
2022-08-03 15:03:18,2022-08-03 15:06:16,IP Address,100,177,True,2022-08-03 15:06:16,R_3NOipjqPIaegkAf,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,ucl_01,UK,University,University College London,3,Minimal (Low),NA,All Human Research,All research,Yes,Yes,No,No,Yes,Yes,No,No,No,In emails they mentioned this form is for all research
2022-08-03 15:06:28,2022-08-03 16:28:25,IP Address,100,4917,True,2022-08-03 16:28:26,R_30nOfsTopjepeka,NA,NA,NA,NA,53.4474,-2.3808,anonymous,EN,SP,NA,icl_01,UK,University,Imperial College London,4,Both minimal and non-minimal,NA,All Human Research,Health and non-health related research,Yes,No,No,No,Yes,No,No,No,No,management of personal and other research data
